459|95|1259|msie|0
39|23|1259|msie|0
91|26|1259|msie|0
19|24|1259|msie|0
343|123|1259|msie|0
619|26|1259|msie|0
408|121|1259|msie|0
403|121|1259|msie|0
402|154|1259|msie|0
414|168|1259|msie|0
437|184|1259|msie|0
452|157|1259|msie|0
404|116|1259|msie|0
389|166|1259|msie|0
493|448|1440|firefox|1
526|296|1440|firefox|1
210|176|920|msie|0
268|138|920|msie|0
225|78|920|msie|0
315|108|1259|msie|0
323|141|1259|msie|0
44|29|1259|msie|0
108|26|1259|msie|0
96|27|920|msie|0
106|24|920|msie|0
356|93|920|msie|0
198|143|920|msie|0
348|128|920|msie|0
230|161|920|msie|0
264|99|920|msie|0
277|128|920|msie|0
279|217|920|msie|0
360|404|920|msie|0
69|29|1440|firefox|1
1272|394|1440|firefox|1
